Source	Cell Type (Clean)	Cell Type	Spearman's Correlation	Pearson's Correlation	Description (e.g. cell type, tissue, system)
BLUEPRINT	segmented neutrophil of bone marrow segmented neutrophil of bone marrow bone marrow	segmented.neutrophil.of.bone.marrow.segmented.neutrophil.of.bone.marrow.bone.marrow	0.6247330828	0.8830118835	blood, neutrophil
BLUEPRINT	thymocyte thymocyte thymus lymphoid tissue	thymocyte.thymocyte.thymus.lymphoid.tissue	0.5022448651	0.8970240227	blood, thymocyte
BLUEPRINT	X  Chronic Lymphocytic Leukemia venous blood	X..Chronic.Lymphocytic.Leukemia.venous.blood	0.7621737132	0.8168457743	blood, cancer
BLUEPRINT	X  Mantle Cell Lymphoma venous blood	X..Mantle.Cell.Lymphoma.venous.blood	0.7605273063	0.8062265034	blood, cancer
BLUEPRINT	X  T cell Prolymphocytic Leukemia venous blood	X..T.cell.Prolymphocytic.Leukemia.venous.blood	0.7126114789	0.806759708	blood, T cell
BLUEPRINT_HSC	B cell from peripheral blood	B.cell.from.peripheral.blood	0.4916569009	0.7676909817	blood, B cell
BLUEPRINT_HSC	CD4  T cell from peripheral blood	CD4..T.cell.from.peripheral.blood	0.4833777255	0.7638219003	blood, T cell
BLUEPRINT_HSC	CD8  T cell from peripheral blood	CD8..T.cell.from.peripheral.blood	0.4848565209	0.7669409728	blood, T cell
BLUEPRINT_HSC	Common lymphoid progenitor from peripheral blood	Common.lymphoid.progenitor.from.peripheral.blood	0.4620384647	0.8163822715	blood, progenitor
BLUEPRINT_HSC	Common myeloid progenitor from peripheral blood	Common.myeloid.progenitor.from.peripheral.blood	0.4749478961	0.8102606389	blood, progenitor
BLUEPRINT_HSC	Granulocyte macrophage progenitor from peripheral blood	Granulocyte.macrophage.progenitor.from.peripheral.blood	0.4771983745	0.8041032647	blood, progenitor
BLUEPRINT_HSC	Hematopoietic stem cell from bone marrow	Hematopoietic.stem.cell.from.bone.marrow	0.4657350873	0.7820580511	blood, stem
BLUEPRINT_HSC	Hematopoietic stem cell from cord blood	Hematopoietic.stem.cell.from.cord.blood	0.4744901193	0.7940327628	blood, stem
BLUEPRINT_HSC	Hematopoietic stem cell from fetal liver	Hematopoietic.stem.cell.from.fetal.liver	0.4734147676	0.7486214996	blood, stem
BLUEPRINT_HSC	Hematopoietic stem cell from peripheral blood	Hematopoietic.stem.cell.from.peripheral.blood	0.486482713	0.7194712961	blood, stem
BLUEPRINT_HSC	Immature lymphoid progenitor 0 from peripheral blood	Immature.lymphoid.progenitor.0.from.peripheral.blood	0.4620076751	0.8062884797	blood, progenitor
BLUEPRINT_HSC	Immature lymphoid progenitor 1 from peripheral blood	Immature.lymphoid.progenitor.1.from.peripheral.blood	0.4605857105	0.8125971773	blood, progenitor
BLUEPRINT_HSC	Immature lymphoid progenitor 2 from peripheral blood	Immature.lymphoid.progenitor.2.from.peripheral.blood	0.46430163	0.8046984146	blood, progenitor
BLUEPRINT_HSC	Immature lymphoid progenitor 3 from peripheral blood	Immature.lymphoid.progenitor.3.from.peripheral.blood	0.4663846217	0.8069472607	blood, progenitor
BLUEPRINT_HSC	Megakaryocyte erythrocyte progenitor from peripheral blood	Megakaryocyte.erythrocyte.progenitor.from.peripheral.blood	0.4760397848	0.8098210555	blood, megakaryocyte
BLUEPRINT_HSC	Megakaryocyte from bone marrow	Megakaryocyte.from.bone.marrow	0.4786601652	0.6871655825	blood, megakaryocyte
BLUEPRINT_HSC	Monocyte from peripheral blood	Monocyte.from.peripheral.blood	0.4997991228	0.7342665784	blood, monocyte
